,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
6293,Freguesia (Jacarepaguá),4,2,1,127,2300.0,993.0,211.0
6297,Tijuca,3,1,1,110,2800.0,763.0,0.0
6319,Méier,3,1,1,104,1400.0,900.0,0.0
6338,Freguesia (Jacarepaguá),3,2,1,110,2200.0,900.0,150.0
6343,Laranjeiras,3,1,1,130,2800.0,1500.0,200.0
6360,Camorim,3,2,1,75,1700.0,650.0,80.0
6380,Tanque,3,1,1,73,1300.0,765.0,76.0
6387,Recreio dos Bandeirantes,3,2,1,89,2500.0,700.0,190.0
6390,Engenho Novo,3,0,0,100,1400.0,250.0,0.0
6456,Recreio dos Bandeirantes,4,2,1,105,1900.0,1492.0,205.0
6502,Copacabana,3,1,0,75,2400.0,750.0,174.0
6504,Laranjeiras,3,2,1,117,2800.0,978.0,205.0
6529,Freguesia (Jacarepaguá),4,2,1,218,2500.0,1205.0,320.0
6572,Recreio dos Bandeirantes,3,2,1,95,1600.0,550.0,165.0
6616,Catete,3,0,0,100,2200.0,720.0,193.0
6618,Freguesia (Jacarepaguá),3,1,2,93,2100.0,900.0,0.0
6620,Copacabana,3,0,0,75,2800.0,1090.0,0.0
6633,Barra da Tijuca,4,2,2,118,2900.0,1000.0,200.0
6637,Taquara,3,1,1,74,950.0,672.0,15.0
6657,Copacabana,3,1,0,134,2300.0,2000.0,0.0
6689,Barra da Tijuca,3,2,1,118,2000.0,1750.0,150.0
6717,Recreio dos Bandeirantes,3,2,1,90,1700.0,450.0,0.0
6736,Freguesia (Jacarepaguá),3,1,1,128,2800.0,900.0,200.0
6748,Tijuca,3,1,1,81,2000.0,600.0,89.0
6786,Recreio dos Bandeirantes,3,3,1,170,2000.0,950.0,330.0
6788,Recreio dos Bandeirantes,3,1,1,81,2600.0,600.0,145.0
6825,Freguesia (Jacarepaguá),3,1,1,84,1300.0,900.0,0.0
6832,Barra da Tijuca,3,2,1,110,2800.0,1688.0,288.0
6833,Tijuca,3,1,0,111,2700.0,680.0,130.0
6841,Recreio dos Bandeirantes,3,2,1,85,2200.0,772.0,0.0
6855,Barra da Tijuca,4,2,2,146,2900.0,1950.0,260.0
6857,Barra da Tijuca,3,2,1,72,2700.0,660.0,90.0
6860,Recreio dos Bandeirantes,3,2,1,150,2500.0,1000.0,10.0
6864,Recreio dos Bandeirantes,4,2,1,180,2900.0,977.0,41.0
6866,Copacabana,3,1,1,240,2600.0,944.0,517.0
6900,Recreio dos Bandeirantes,3,1,2,81,1800.0,1098.0,1910.0
6913,São Cristóvão,4,1,1,150,2500.0,700.0,68.0
6914,Campo Grande,4,2,2,170,2200.0,1100.0,0.0
6919,Tijuca,3,1,0,115,1900.0,720.0,130.0
6923,Recreio dos Bandeirantes,3,2,3,340,2400.0,956.0,420.0
6935,Vila Valqueire,3,1,1,113,1600.0,522.0,80.0
6947,Tijuca,4,1,1,98,2700.0,1380.0,140.0
6962,Recreio dos Bandeirantes,3,2,1,161,2500.0,900.0,2100.0
7014,Recreio dos Bandeirantes,3,2,1,75,2300.0,700.0,95.0
7016,Recreio dos Bandeirantes,3,2,1,81,1700.0,9214.0,200.0
7018,Recreio dos Bandeirantes,3,1,1,90,2500.0,860.0,0.0
7052,Barra da Tijuca,3,1,1,92,2450.0,1200.0,0.0
7064,Recreio dos Bandeirantes,3,2,1,78,2000.0,944.0,150.0
7066,Recreio dos Bandeirantes,3,1,1,81,2600.0,600.0,145.0
7071,Laranjeiras,3,1,1,130,2700.0,1223.0,233.0
7078,Jacarepaguá,3,1,1,78,1800.0,830.0,101.0
7091,Vila Isabel,3,1,0,100,1800.0,155.0,96.0
7093,Tijuca,3,0,0,100,2200.0,1040.0,0.0
7094,Méier,3,0,1,104,2100.0,900.0,182.0
7098,Anil,3,1,1,123,1200.0,690.0,0.0
7101,Copacabana,3,0,1,100,2700.0,1200.0,150.0
7106,Praça Seca,3,1,2,136,1500.0,594.0,0.0
7112,Recreio dos Bandeirantes,3,2,1,93,2200.0,1103.0,159.0
7150,Recreio dos Bandeirantes,3,1,1,82,2300.0,806.0,0.0
7152,Barra da Tijuca,3,2,1,110,2500.0,1457.0,261.0
7158,Copacabana,3,0,0,110,2500.0,1400.0,0.0
7191,Recreio dos Bandeirantes,3,2,1,110,2200.0,695.0,0.0
7220,Recreio dos Bandeirantes,3,2,1,100,2000.0,1000.0,200.0
7303,Copacabana,3,0,0,74,2500.0,750.0,152.0
7370,Maracanã,3,1,1,92,2300.0,719.0,100.0
7376,Recreio dos Bandeirantes,4,2,1,200,2950.0,1000.0,350.0
7415,Santa Teresa,3,0,0,75,2000.0,570.0,0.0
7445,Maracanã,3,0,0,75,1600.0,350.0,0.0
7454,Recreio dos Bandeirantes,3,0,1,140,2200.0,653.0,0.0
7524,Copacabana,3,0,1,189,2500.0,1406.0,290.0
7532,Vila Valqueire,3,1,0,97,1700.0,330.0,1.0
7551,Tijuca,3,2,1,180,1500.0,2000.0,284.0
7563,Laranjeiras,3,0,0,108,2600.0,810.0,0.0
7607,Recreio dos Bandeirantes,3,1,1,84,2000.0,750.0,205.0
7645,Icaraí,4,3,2,150,2300.0,1917.0,0.0
7670,Recreio dos Bandeirantes,3,1,1,72,1800.0,930.0,212.0
7681,Recreio dos Bandeirantes,3,2,1,97,1991.0,1050.0,0.0
7708,Recreio dos Bandeirantes,3,2,1,85,2100.0,800.0,1900.0
7725,Barra da Tijuca,3,2,3,104,2600.0,740.0,240.0
7763,Barra da Tijuca,3,1,1,105,2500.0,1775.0,260.0
7793,Barra da Tijuca,3,2,1,96,2800.0,1200.0,10.0
7807,Barra da Tijuca,3,2,3,110,2700.0,1485.0,262.0
7855,Recreio dos Bandeirantes,3,2,1,86,1400.0,626.0,0.0
7859,Copacabana,3,0,0,113,2300.0,1100.0,0.0
7868,Penha,3,0,0,75,1100.0,185.0,0.0
7872,Recreio dos Bandeirantes,3,2,1,110,2200.0,700.0,2000.0
7886,Recreio dos Bandeirantes,3,2,1,80,2100.0,800.0,1800.0
7895,Flamengo,3,0,0,117,2500.0,600.0,200.0
7918,Tijuca,3,2,1,125,2850.0,970.0,150.0
7930,Recreio dos Bandeirantes,3,2,1,113,2900.0,981.0,27.0
7935,Copacabana,3,1,1,240,2600.0,944.0,517.0
7943,Vila Isabel,3,0,0,75,1700.0,528.0,74.0
8009,Barra da Tijuca,3,1,1,87,1900.0,1302.0,0.0
8021,Barra da Tijuca,3,1,1,82,2500.0,1230.0,269.0
8024,Portuguesa,3,0,1,106,1800.0,650.0,0.0
8038,Recreio dos Bandeirantes,3,2,1,104,2200.0,1128.0,196.0
8056,Santa Teresa,3,1,0,148,2600.0,1430.0,0.0
8064,Barra da Tijuca,3,2,1,77,1700.0,1200.0,2031.0
8065,Jacarepaguá,3,1,2,73,1700.0,650.0,61.0
8080,Recreio dos Bandeirantes,4,2,3,122,2300.0,1330.0,257.0
8093,Grajaú,3,1,1,122,2250.0,1045.0,0.0
8132,Tijuca,4,2,1,125,2950.0,1530.0,197.0
8134,Tijuca,3,1,1,120,1800.0,1188.0,170.0
8152,Recreio dos Bandeirantes,4,2,2,153,2000.0,1414.0,352.0
8155,Barra da Tijuca,3,1,0,72,2200.0,600.0,0.0
8163,Freguesia (Jacarepaguá),3,2,2,120,1800.0,1107.0,190.0
8165,Grajaú,3,1,1,85,1450.0,407.0,0.0
8186,Barra da Tijuca,3,2,1,113,2800.0,1550.0,180.0
8201,Laranjeiras,3,1,1,127,2500.0,962.0,0.0
8203,Tijuca,3,0,0,90,1800.0,873.0,75.0
8231,Tijuca,4,2,1,188,2000.0,2000.0,309.0
8306,Tanque,3,2,2,91,1200.0,525.0,106.0
8310,Barra da Tijuca,3,2,1,100,2200.0,1600.0,350.0
8349,Recreio dos Bandeirantes,3,0,0,85,2600.0,850.0,0.0
8363,Bonsucesso,3,0,1,82,1500.0,470.0,0.0
8372,Tijuca,3,2,1,132,2800.0,1216.0,200.0
8384,Recreio dos Bandeirantes,3,2,1,110,1800.0,577.0,157.0
8399,Laranjeiras,3,0,1,120,2200.0,600.0,0.0
8420,Camorim,4,2,2,230,2400.0,818.0,305.0
8439,Barra da Tijuca,3,1,1,90,1900.0,1200.0,98.0
8440,Copacabana,3,1,0,122,2700.0,1402.0,187.0
8441,Vila Valqueire,3,1,1,92,1800.0,355.0,0.0
8466,Copacabana,3,0,1,156,2500.0,984.0,248.0
8509,Copacabana,3,0,1,90,2350.0,1237.0,123.0
8522,Recreio dos Bandeirantes,3,2,1,90,1600.0,1276.0,200.0
8527,Tijuca,3,2,0,126,2000.0,550.0,1100.0
8543,Recreio dos Bandeirantes,3,2,2,180,2600.0,900.0,442.0
8584,Recreio dos Bandeirantes,3,2,2,92,1650.0,900.0,0.0
8595,Recreio dos Bandeirantes,3,1,1,97,2650.0,875.0,205.0
8621,Tijuca,3,0,1,75,2300.0,600.0,150.0
8624,Recreio dos Bandeirantes,3,1,1,103,1700.0,1322.0,0.0
8649,Tijuca,3,1,1,99,1800.0,710.0,0.0
8659,Barra da Tijuca,3,2,1,172,2300.0,1600.0,450.0
8663,Pechincha,3,1,0,86,1000.0,670.0,84.0
8684,Barra da Tijuca,3,2,1,120,2900.0,1800.0,0.0
8685,Tijuca,3,0,1,110,2500.0,700.0,150.0
8722,Recreio dos Bandeirantes,3,3,1,111,1700.0,904.0,0.0
8736,Botafogo,3,1,1,108,2800.0,1160.0,236.0
8747,Recreio dos Bandeirantes,3,0,1,106,2500.0,780.0,250.0
8754,Tijuca,3,2,1,120,2580.0,926.0,187.0
8765,Barra da Tijuca,3,2,1,172,2300.0,1600.0,450.0
8775,Tijuca,3,1,1,81,1750.0,596.0,89.0
8812,Barra da Tijuca,3,2,1,140,2300.0,1600.0,450.0
8828,Jardim Guanabara,3,1,1,90,2000.0,380.0,998.0
8838,Cachambi,3,1,1,84,1350.0,739.0,14.0
8858,Maracanã,3,1,1,81,2000.0,600.0,89.0
8898,Glória,3,0,0,92,2500.0,470.0,0.0
8903,Humaitá,3,1,0,84,1800.0,1500.0,0.0
8910,Freguesia (Jacarepaguá),4,3,2,261,2800.0,2532.0,4442.0
8925,Recreio dos Bandeirantes,3,1,1,82,1400.0,861.0,0.0
8969,Recreio dos Bandeirantes,3,1,1,90,2100.0,750.0,1386.0
8995,Recreio dos Bandeirantes,3,2,2,100,2200.0,670.0,211.0
8998,Copacabana,3,0,0,125,2900.0,820.0,134.0
9015,Recreio dos Bandeirantes,3,2,1,140,2900.0,1480.0,226.0
9023,Vila Valqueire,3,2,1,110,1700.0,650.0,110.0
9044,Rio Comprido,3,2,1,110,1900.0,890.0,86.0
9073,Recreio dos Bandeirantes,3,1,1,73,1500.0,984.0,115.0
9090,Recreio dos Bandeirantes,3,2,3,160,2600.0,1100.0,0.0
9121,Penha Circular,3,1,2,80,1500.0,650.0,656.0
9127,Recreio dos Bandeirantes,3,2,2,103,2500.0,500.0,250.0
9132,Tijuca,3,0,0,80,1700.0,500.0,50.0
9173,Centro,3,1,0,100,2400.0,650.0,66.0
9182,Freguesia (Jacarepaguá),3,2,2,96,2100.0,800.0,120.0
9194,Braz de Pina,4,2,1,121,2300.0,600.0,0.0
9214,Copacabana,3,1,0,78,2500.0,932.0,175.0
9275,Jacarepaguá,3,1,1,76,1800.0,860.0,1006.0
9276,Barra da Tijuca,3,1,1,85,2200.0,683.0,90.0
9289,Tijuca,3,1,1,85,2100.0,630.0,116.0
9328,Maracanã,3,1,1,110,2000.0,715.0,0.0
9334,Recreio dos Bandeirantes,3,2,1,120,2200.0,520.0,216.0
9356,Barra da Tijuca,3,1,1,82,2200.0,830.0,0.0
9370,Vila da Penha,3,1,1,80,1300.0,250.0,0.0
9384,Recreio dos Bandeirantes,3,3,1,100,2950.0,850.0,0.0
9438,Anil,3,1,1,78,2000.0,738.0,0.0
9451,Tijuca,3,0,0,84,1700.0,790.0,1830.0
9470,Recreio dos Bandeirantes,3,1,1,82,2000.0,800.0,150.0
9474,Flamengo,3,0,0,98,2550.0,850.0,196.0
9506,Cachambi,3,2,1,89,1750.0,890.0,80.0
9511,Recreio dos Bandeirantes,3,2,1,86,1700.0,715.0,193.0
9514,Méier,3,2,1,128,1850.0,1055.0,174.0
9516,Tijuca,3,0,1,91,2800.0,450.0,0.0
9546,Barra da Tijuca,3,2,1,95,1600.0,1250.0,0.0
9569,Freguesia (Jacarepaguá),3,1,1,90,2500.0,680.0,0.0
9577,Recreio dos Bandeirantes,3,2,1,114,2800.0,620.0,250.0
9578,Maracanã,3,2,1,90,2800.0,810.0,107.0
9590,Barra da Tijuca,3,1,1,80,2500.0,1238.0,194.0
9592,Recreio dos Bandeirantes,3,3,1,125,2100.0,1055.0,380.0
9596,Copacabana,3,0,0,120,2600.0,1189.0,154.0
9613,Recreio dos Bandeirantes,3,3,3,183,2700.0,760.0,5000.0
9614,Cachambi,3,1,0,100,1550.0,650.0,59.0
9620,Tijuca,3,1,0,73,1900.0,638.0,0.0
9621,Copacabana,3,1,0,101,2200.0,1470.0,220.0
9657,Curicica,3,1,1,85,1700.0,560.0,150.0
9676,Botafogo,3,0,0,157,2700.0,970.0,200.0
9716,Pechincha,4,1,2,178,1900.0,1100.0,270.0
9734,Copacabana,3,0,0,120,2700.0,800.0,0.0
9779,Flamengo,3,1,1,110,2950.0,1200.0,0.0
9788,Tijuca,3,1,0,100,2200.0,935.0,0.0
9791,Recreio dos Bandeirantes,3,1,0,85,1800.0,1250.0,190.0
9821,Tijuca,3,1,1,120,2200.0,900.0,1520.0
9824,Vila Isabel,3,1,1,98,1300.0,529.0,101.0
9888,Vila Isabel,3,1,0,71,1800.0,630.0,70.0
9893,Barra da Tijuca,3,1,1,72,2100.0,660.0,110.0
9907,Méier,3,1,1,71,1000.0,836.0,39.0
9909,Laranjeiras,4,0,0,101,2300.0,767.0,0.0
9912,Piedade,3,0,0,85,850.0,200.0,13.0
9918,Recreio dos Bandeirantes,3,2,1,160,2550.0,1050.0,0.0
9920,Tijuca,3,0,1,90,2300.0,650.0,100.0
9927,Praça Seca,3,1,2,123,1400.0,700.0,0.0
9937,Recreio dos Bandeirantes,3,2,1,90,2000.0,715.0,134.0
9947,Recreio dos Bandeirantes,3,2,3,91,2500.0,780.0,180.0
9958,Recreio dos Bandeirantes,3,2,1,102,2000.0,640.0,247.0
9969,Tijuca,3,1,1,74,2500.0,882.0,119.0
10015,Copacabana,3,0,0,103,2500.0,1344.0,164.0
10018,Recreio dos Bandeirantes,3,1,2,84,2200.0,860.0,141.0
10021,Praça Seca,3,0,0,85,1300.0,370.0,135.0
10026,Jardim Botânico,3,1,0,90,2500.0,1150.0,1400.0
10036,Barra da Tijuca,3,2,1,126,2800.0,1500.0,233.0
10060,Andaraí,3,0,0,86,1800.0,360.0,105.0
10077,Recreio dos Bandeirantes,3,2,1,90,1800.0,505.0,0.0
10078,Barra da Tijuca,3,1,1,80,2800.0,1300.0,140.0
10111,Recreio dos Bandeirantes,3,2,0,133,2190.0,1004.0,0.0
10120,Campo Grande,3,1,1,165,2000.0,700.0,0.0
10125,Pechincha,3,1,0,73,1400.0,550.0,78.0
10127,Recreio dos Bandeirantes,3,2,1,194,1900.0,2120.0,319.0
10162,Freguesia (Jacarepaguá),3,2,3,166,2500.0,1600.0,200.0
10174,Recreio dos Bandeirantes,3,1,1,80,2500.0,600.0,0.0
10226,Tijuca,3,1,1,90,2000.0,980.0,0.0
10245,Freguesia (Jacarepaguá),3,1,1,92,1900.0,945.0,157.0
10290,Méier,3,2,1,126,1800.0,1470.0,172.0
10299,Recreio dos Bandeirantes,3,3,3,178,2700.0,690.0,5000.0
10309,Copacabana,3,0,1,115,2900.0,1900.0,190.0
10323,Recreio dos Bandeirantes,3,1,1,88,2100.0,1050.0,180.0
10338,Flamengo,3,1,0,85,2500.0,950.0,154.0
10392,Barra da Tijuca,3,2,3,120,2800.0,1280.0,360.0
10408,Recreio dos Bandeirantes,3,2,3,120,2300.0,800.0,3021.0
10412,Tijuca,3,1,0,86,1900.0,675.0,110.0
10428,Recreio dos Bandeirantes,3,3,2,170,2000.0,853.0,100.0
10483,Laranjeiras,3,0,0,80,2200.0,330.0,89.0
10510,Taquara,3,1,1,85,1200.0,720.0,108.0
10539,Tijuca,3,1,1,115,2500.0,1200.0,0.0
10542,Pechincha,3,2,1,108,1300.0,798.0,116.0
10557,Bonsucesso,3,0,0,81,1600.0,630.0,0.0
10563,Anil,4,2,1,149,2100.0,1340.0,1206.0
10573,Recreio dos Bandeirantes,3,1,1,73,2200.0,769.0,165.0
10625,Jardim Botânico,3,0,1,110,2700.0,1500.0,0.0
10626,Barra da Tijuca,3,1,1,96,2800.0,980.0,90.0
10633,Usina,3,1,1,94,1700.0,860.0,77.0
10700,Pechincha,3,1,1,76,1500.0,700.0,800.0
10713,Copacabana,3,0,0,110,2700.0,1000.0,20.0
10746,Tijuca,3,1,1,140,2800.0,1260.0,0.0
10750,Leme,3,1,0,97,2800.0,1053.0,187.0
10795,Ilha do Governador,3,2,1,120,2700.0,515.0,123.0
10809,Recreio dos Bandeirantes,3,1,1,81,2600.0,600.0,145.0
10813,Tijuca,3,1,0,77,2100.0,762.0,91.0
10838,Recreio dos Bandeirantes,3,2,3,86,2500.0,1250.0,3197.0
10840,Tijuca,3,0,0,110,1500.0,680.0,85.0
10863,Jardim Guanabara,3,2,1,200,1950.0,560.0,195.0
10895,Laranjeiras,3,0,0,108,2600.0,900.0,0.0
10915,Taquara,3,1,2,90,2500.0,590.0,0.0
10942,Recreio dos Bandeirantes,3,2,1,85,1800.0,1200.0,0.0
10960,Recreio dos Bandeirantes,3,0,1,90,1900.0,590.0,2321.0
10964,Jacarepaguá,3,1,1,85,1700.0,680.0,89.0
10979,Pitangueiras,3,2,1,154,1700.0,750.0,251.0
10987,Barra da Tijuca,3,2,1,114,1500.0,1413.0,0.0
11076,Recreio dos Bandeirantes,4,2,3,297,2300.0,3459.0,0.0
11082,Barra da Tijuca,3,2,1,80,2350.0,1187.0,175.0
11113,Recreio dos Bandeirantes,3,1,1,82,2300.0,700.0,1491.0
11141,Tijuca,3,0,1,80,1800.0,650.0,1150.0
11177,Barra da Tijuca,3,2,1,100,2800.0,1500.0,250.0
11185,Recreio dos Bandeirantes,3,2,2,95,1500.0,726.0,0.0
11194,Botafogo,3,1,1,120,2500.0,1200.0,200.0
11196,Jardim Guanabara,3,1,1,110,2800.0,550.0,180.0
11251,Barra da Tijuca,3,2,1,95,2300.0,850.0,192.0
11261,Tijuca,3,0,0,80,1850.0,590.0,100.0
11300,Tijuca,3,1,0,80,1800.0,850.0,90.0
11301,Ilha do Governador,3,2,1,118,2500.0,470.0,200.0
11310,Recreio dos Bandeirantes,3,2,1,100,2400.0,632.0,272.0
11316,Campo Grande,3,1,1,120,1800.0,750.0,0.0
11318,Barra da Tijuca,3,3,1,84,2200.0,1100.0,1923.0
11323,Recreio dos Bandeirantes,4,2,3,280,1800.0,1400.0,580.0
11338,Copacabana,3,0,1,100,2900.0,890.0,0.0
11355,Vaz Lobo,3,1,1,85,1300.0,300.0,0.0
11367,Recreio dos Bandeirantes,4,3,2,250,1500.0,1380.0,700.0
11385,Recreio dos Bandeirantes,3,1,1,78,1500.0,770.0,108.0
11389,Campo Grande,3,1,1,95,1200.0,900.0,0.0
11398,Botafogo,3,0,0,78,2750.0,410.0,122.0
11416,Barra da Tijuca,3,1,1,95,2000.0,1400.0,0.0
11418,Tijuca,3,1,1,100,1600.0,320.0,90.0
11425,Barra da Tijuca,3,1,1,90,2600.0,1200.0,0.0
11433,Bento Ribeiro,4,2,1,144,2200.0,475.0,100.0
11461,Botafogo,3,1,1,81,2800.0,880.0,188.0
11499,Recreio dos Bandeirantes,3,2,1,90,1850.0,1245.0,135.0
11544,Barra da Tijuca,3,1,1,97,2300.0,750.0,0.0
11557,Freguesia (Jacarepaguá),3,2,1,140,2200.0,1200.0,190.0
11576,Tijuca,3,0,0,72,1300.0,536.0,70.0
11577,Campo Grande,3,1,0,90,1000.0,320.0,0.0
11582,Freguesia (Ilha do Governador),3,1,1,115,2000.0,580.0,160.0
11584,Recreio dos Bandeirantes,3,2,1,89,1900.0,845.0,0.0
11589,Recreio dos Bandeirantes,3,1,1,85,2100.0,990.0,180.0
11593,Recreio dos Bandeirantes,3,2,1,181,2700.0,900.0,0.0
11596,Recreio dos Bandeirantes,3,2,1,89,2500.0,385.0,153.0
11597,Recreio dos Bandeirantes,3,1,1,144,2990.0,1090.0,468.0
11599,Vila Valqueire,3,2,1,123,2650.0,450.0,0.0
11611,Recreio dos Bandeirantes,3,1,1,83,1550.0,972.0,0.0
11613,Recreio dos Bandeirantes,3,2,1,130,1900.0,823.0,0.0
11617,Barra da Tijuca,3,1,1,95,2400.0,1200.0,2413.0
11624,Recreio dos Bandeirantes,3,2,1,100,1700.0,410.0,130.0
11625,Freguesia (Jacarepaguá),3,2,1,127,2300.0,1140.0,1852.0
11634,Freguesia (Jacarepaguá),3,1,1,92,1590.0,870.0,130.0
11638,Bonsucesso,3,0,0,107,1300.0,420.0,62.0
11640,Botafogo,3,1,1,130,2600.0,1200.0,130.0
11642,Recreio dos Bandeirantes,3,1,1,85,1900.0,500.0,150.0
11666,Recreio dos Bandeirantes,3,1,2,194,1800.0,1000.0,0.0
11675,Recreio dos Bandeirantes,4,2,1,160,1900.0,1093.0,183.0
11683,Freguesia (Jacarepaguá),3,2,1,161,2800.0,1527.0,225.0
11687,Taquara,3,1,1,74,950.0,671.0,15.0
11701,Recreio dos Bandeirantes,3,2,1,80,1800.0,600.0,198.0
11717,Tijuca,3,1,0,107,2200.0,600.0,144.0
11721,Tijuca,3,0,0,80,2500.0,900.0,0.0
11733,Tijuca,3,0,0,100,1800.0,770.0,155.0
11760,Tijuca,3,1,0,99,1800.0,672.0,114.0
11767,Freguesia (Jacarepaguá),3,1,1,90,2200.0,750.0,112.0
11804,Tijuca,3,1,0,102,1700.0,626.0,0.0
11826,Tijuca,3,2,1,84,2350.0,950.0,890.0
11841,Vila Isabel,3,2,0,200,2500.0,1500.0,130.0
11872,Tijuca,3,1,1,79,2400.0,1007.0,0.0
11889,Recreio dos Bandeirantes,3,2,2,184,2500.0,1375.0,477.0
11916,Recreio dos Bandeirantes,3,1,1,93,1900.0,650.0,134.0
11917,Laranjeiras,3,0,0,89,2500.0,350.0,0.0
11964,Vila Isabel,3,2,1,140,2000.0,1300.0,145.0
11969,Tijuca,3,1,1,112,2200.0,810.0,0.0
12009,Freguesia (Jacarepaguá),3,1,1,93,1190.0,930.0,0.0
12032,Barra da Tijuca,3,0,0,91,2200.0,1400.0,1050.0
12038,Freguesia (Jacarepaguá),3,2,1,95,1900.0,850.0,160.0
12049,Rio Comprido,3,0,0,75,1000.0,300.0,33.0
12054,Botafogo,3,1,1,90,2800.0,1500.0,180.0
12059,Irajá,3,2,1,105,1900.0,390.0,120.0
12065,Recreio dos Bandeirantes,3,2,1,95,1600.0,760.0,0.0
12069,Tijuca,3,0,0,137,1200.0,930.0,182.0
12180,Flamengo,3,0,0,83,2000.0,450.0,0.0
12222,Recreio dos Bandeirantes,3,2,2,155,2500.0,1000.0,180.0
12233,Rio Comprido,3,1,1,79,2100.0,900.0,0.0
12236,Méier,3,2,1,80,1800.0,800.0,0.0
12245,Recreio dos Bandeirantes,3,1,1,127,1500.0,1140.0,265.0
12271,Barra da Tijuca,3,2,1,110,2800.0,1192.0,0.0
12283,Tijuca,3,1,0,80,1600.0,450.0,0.0
12298,Tijuca,3,0,0,79,2100.0,764.0,0.0
12329,Grajaú,3,1,1,91,2800.0,800.0,0.0
12338,Cachambi,3,1,0,77,1400.0,680.0,0.0
12348,Botafogo,3,1,0,95,2500.0,827.0,168.0
12362,Recreio dos Bandeirantes,3,1,1,123,2300.0,816.0,2800.0
12378,Laranjeiras,3,0,0,130,2800.0,915.0,133.0
12388,Tijuca,3,0,0,105,1800.0,760.0,128.0
12410,Maracanã,3,2,1,116,2500.0,1300.0,163.0
12413,Recreio dos Bandeirantes,3,2,1,109,2500.0,842.0,192.0
12417,Anil,3,1,1,117,1800.0,250.0,0.0
12428,Recreio dos Bandeirantes,3,2,1,100,1800.0,650.0,0.0
12430,Tijuca,3,1,1,80,2900.0,1105.0,0.0
12437,Recreio dos Bandeirantes,3,2,1,90,1800.0,505.0,114.0
12440,Tijuca,3,1,1,85,2000.0,1310.0,94.0
12446,Pechincha,3,1,1,76,1450.0,680.0,95.0
12450,Freguesia (Jacarepaguá),3,1,1,76,1800.0,800.0,1000.0
12478,Barra da Tijuca,3,1,1,73,2100.0,620.0,0.0
12481,Recreio dos Bandeirantes,3,2,1,100,2200.0,900.0,0.0
12482,Campo Grande,3,1,1,80,1500.0,500.0,0.0
12483,Tijuca,3,1,0,91,2000.0,887.0,122.0
12486,Anil,3,2,2,175,2600.0,1255.0,1433.0
12508,Recreio dos Bandeirantes,3,2,1,92,2100.0,700.0,10.0
12516,Recreio dos Bandeirantes,3,2,1,146,1800.0,1063.0,0.0
12535,Centro,3,0,0,90,2100.0,550.0,50.0
12537,Barra da Tijuca,3,2,1,140,2700.0,1600.0,4500.0
12543,Copacabana,3,1,0,110,2850.0,1500.0,170.0
12593,Tijuca,3,1,1,98,2400.0,660.0,113.0
12609,Copacabana,3,1,0,100,2500.0,1204.0,0.0
12613,Barra da Tijuca,4,2,1,158,2500.0,1622.0,404.0
12614,Recreio dos Bandeirantes,3,1,1,80,1700.0,1090.0,1300.0
12620,Recreio dos Bandeirantes,3,2,1,100,2000.0,650.0,114.0
12654,Recreio dos Bandeirantes,3,2,1,105,2500.0,950.0,232.0
12663,Recreio dos Bandeirantes,3,2,1,110,1950.0,565.0,212.0
12694,Méier,3,1,1,83,1000.0,836.0,95.0
12699,Jacarepaguá,3,1,1,74,2200.0,770.0,500.0
12707,Freguesia (Jacarepaguá),3,1,1,77,1800.0,460.0,0.0
12723,Recreio dos Bandeirantes,3,0,2,90,2000.0,715.0,154.0
12732,Tijuca,3,1,1,98,2400.0,823.0,173.0
12765,Vila da Penha,3,0,1,81,1200.0,260.0,0.0
12793,Tijuca,3,1,0,193,1700.0,850.0,116.0
12828,Barra da Tijuca,3,2,1,106,2500.0,1772.0,249.0
12850,Freguesia (Jacarepaguá),3,2,1,105,2500.0,895.0,160.0
12866,Barra da Tijuca,3,1,1,120,2900.0,2150.0,388.0
12894,Recreio dos Bandeirantes,3,2,1,161,2190.0,610.0,366.0
12904,Tijuca,3,0,0,116,2000.0,730.0,1160.0
12912,Andaraí,3,0,1,85,1700.0,380.0,35.0
12915,Freguesia (Jacarepaguá),3,2,1,132,1900.0,1100.0,110.0
13020,Copacabana,3,1,0,105,2500.0,1400.0,220.0
13022,Tijuca,3,0,0,86,2500.0,561.0,113.0
13027,Barra da Tijuca,3,0,1,86,1600.0,928.0,251.0
13029,Rio Comprido,3,0,0,86,1600.0,350.0,0.0
13030,Tijuca,3,1,2,116,2500.0,900.0,220.0
13039,Jacarepaguá,3,1,1,112,2300.0,1876.0,0.0
13059,Jacarepaguá,3,1,1,82,2100.0,735.0,65.0
13070,Recreio dos Bandeirantes,3,2,1,80,1700.0,800.0,115.0
13092,Rio Comprido,3,0,0,86,1800.0,530.0,76.0
13096,Grajaú,3,0,0,80,1600.0,600.0,240.0
13109,Recreio dos Bandeirantes,3,2,1,79,2400.0,944.0,155.0
13119,Recreio dos Bandeirantes,3,2,1,100,2500.0,980.0,190.0
13128,Freguesia (Jacarepaguá),3,2,2,94,2500.0,610.0,0.0
13184,Freguesia (Jacarepaguá),4,1,2,112,2400.0,648.0,0.0
13186,Tijuca,4,1,1,140,2700.0,1227.0,287.0
13196,Recreio dos Bandeirantes,3,2,1,104,2200.0,740.0,258.0
